goes_start,goes_peak,goes_end,goes_class,goes_flux,goes_class_rank,date
2026-07-03 23:50:00,2026-06-14 12:03:42,2026-07-04 00:05:00,M2.0,2e-05,-4.698970004336019,2026-07-04
2026-07-04 00:13:00,2026-07-04 00:23:00,2026-07-04 00:32:00,M2.3,2.3e-05,-4.638272163982407,2026-07-04
2026-07-04 00:59:00,2026-07-04 01:13:00,2026-07-04 01:21:00,M2.1,2.1000000000000002e-05,-4.6777807052660805,2026-07-04
2026-07-04 01:52:00,2026-07-04 02:01:00,2026-07-04 02:08:00,M1.2,1.2e-05,-4.920818753952375,2026-07-04
2026-07-04 03:21:00,2026-07-04 03:32:00,2026-07-04 03:40:00,M3.7,3.7000000000000005e-05,-4.431798275933005,2026-07-04
2026-07-04 03:41:00,2026-07-04 03:42:00,2026-07-04 03:43:00,M4.0,4e-05,-4.3979400086720375,2026-07-04
2026-07-04 05:04:00,2026-07-04 05:15:00,2026-07-04 05:22:00,M1.3,1.3000000000000001e-05,-4.886056647693163,2026-07-04
2026-07-04 05:43:00,2026-07-04 05:52:00,2026-07-04 05:59:00,C9.5,9.499999999999999e-06,-5.022276394711152,2026-07-04
2026-07-04 06:12:00,2026-07-04 06:20:00,2026-07-04 06:35:00,C7.4,7.4e-06,-5.130768280269024,2026-07-04
2026-07-04 07:26:00,2026-07-04 07:42:00,2026-07-04 07:48:00,C5.3,5.299999999999999e-06,-5.275724130399211,2026-07-04
2026-07-04 07:48:00,2026-07-04 08:07:00,2026-07-04 08:14:00,M1.8,1.8e-05,-4.7447274948966935,2026-07-04
2026-07-04 08:41:00,2026-07-04 08:52:00,2026-07-04 08:56:00,M1.0,1e-05,-5.0,2026-07-04
2026-07-04 11:04:00,2026-07-04 11:12:00,2026-07-04 11:19:00,M3.2,3.2000000000000005e-05,-4.494850021680094,2026-07-04
2026-07-04 13:41:00,2026-07-04 13:51:00,2026-07-04 13:58:00,M3.2,3.2000000000000005e-05,-4.494850021680094,2026-07-04
2026-07-04 14:26:00,2026-07-04 14:30:00,2026-07-04 14:35:00,C8.3,8.3e-06,-5.080921907623926,2026-07-04
2026-07-04 14:35:00,2026-07-04 14:38:00,2026-07-04 14:41:00,C8.5,8.5e-06,-5.070581074285707,2026-07-04
2026-07-04 15:26:00,2026-07-04 15:34:00,2026-07-04 15:50:00,C8.0,8e-06,-5.096910013008056,2026-07-04
2026-07-04 16:02:00,2026-07-04 16:06:00,2026-07-04 16:11:00,M1.1,1.1000000000000001e-05,-4.958607314841775,2026-07-04
2026-07-04 16:56:00,2026-07-04 17:02:00,2026-07-04 17:04:00,C7.5,7.499999999999999e-06,-5.1249387366083,2026-07-04
2026-07-04 18:36:00,2026-07-04 18:48:00,2026-07-04 19:03:00,M1.9,1.9e-05,-4.721246399047171,2026-07-04
2026-07-04 19:23:00,2026-07-04 19:36:00,2026-07-04 19:40:00,M1.5,1.5000000000000002e-05,-4.823908740944319,2026-07-04
2026-07-04 20:29:00,2026-07-04 20:41:00,2026-07-04 20:47:00,X1.3,0.00013000000000000002,-3.886056647693163,2026-07-04
2026-07-04 22:16:00,2026-07-04 22:24:00,2026-07-04 22:29:00,M1.1,1.1000000000000001e-05,-4.958607314841775,2026-07-04
2026-07-04 23:32:00,2026-07-04 23:41:00,2026-07-04 23:44:00,C9.3,9.3e-06,-5.031517051446065,2026-07-04
2026-07-04 23:46:00,2026-07-04 23:48:00,2026-07-04 23:53:00,M1.0,1e-05,-5.0,2026-07-04
