solexs_start,solexs_peak_time,solexs_peak_rate,solexs_end,solexs_peak_to_background_ratio,hel1os_peak_time,hel1os_peak_rate,hel1os_peak_to_background_ratio,lead_time_minutes,leading_instrument,confirmation,estimated_class,matched_goes_class,matched_goes_flux,matched_goes_peak,time_difference_seconds,is_true_positive,date
2026-07-04 00:17:39.999999998,2026-07-04 00:19:32.999999998,1079.0,2026-07-04 00:19:39.000000000,2.403118040089087,,,,,,SoLEXS-only,M2.3,M2.3,2.3e-05,2026-07-04 00:23:00,207.000001,True,2026-07-04
2026-07-04 00:21:52.999999999,2026-07-04 00:23:18.999999999,1985.0,2026-07-04 00:23:39.000000001,4.075975359342916,,,,,,SoLEXS-only,,,,,,False,2026-07-04
2026-07-04 01:06:06.999999998,2026-07-04 01:07:04.000000000,892.0,2026-07-04 01:07:08.000000000,2.3138780804150456,,,,,,SoLEXS-only,M2.1,M2.1,2.1000000000000002e-05,2026-07-04 01:13:00,356.0,True,2026-07-04
2026-07-04 03:27:12.999999999,2026-07-04 03:30:03.999999999,2409.0,2026-07-04 03:30:03.999999999,7.458204334365325,2026-07-04 03:41:01.438,338.0,7.041666666666667,-10.957300016666666,SoLEXS,Confirmed,M3.7,M3.7,3.7000000000000005e-05,2026-07-04 03:32:00,116.000001,True,2026-07-04
2026-07-04 03:41:12.999999998,2026-07-04 03:41:56.000000000,3504.0,2026-07-04 03:41:58.999999999,1.3568247821878026,,,,,,SoLEXS-only,M4.0,M4.0,4e-05,2026-07-04 03:42:00,4.0,True,2026-07-04
2026-07-04 08:47:09.999999999,2026-07-04 08:48:37.000000000,540.0,2026-07-04 08:48:38.999999998,1.8556701030927836,,,,,,SoLEXS-only,M1.0,M1.0,1e-05,2026-07-04 08:52:00,203.0,True,2026-07-04
2026-07-04 11:06:30.999999999,2026-07-04 11:09:03.999999999,2049.0,2026-07-04 11:09:11.999999998,5.871060171919771,2026-07-04 11:06:53.438,438.0,5.27710843373494,2.1760333166666666,HEL1OS,Confirmed,M3.2,M3.2,3.2000000000000005e-05,2026-07-04 11:12:00,176.000001,True,2026-07-04
2026-07-04 13:43:46.999999999,2026-07-04 13:45:05.000000000,516.0,2026-07-04 13:45:05.000000000,1.6175548589341693,,,,,,SoLEXS-only,M3.2,M3.2,3.2000000000000005e-05,2026-07-04 13:51:00,355.0,True,2026-07-04
2026-07-04 13:47:40.999999999,2026-07-04 13:49:54.000000001,2581.0,2026-07-04 13:49:54.000000001,7.774096385542169,,,,,,SoLEXS-only,,,,,,False,2026-07-04
2026-07-04 14:29:03.000000001,2026-07-04 14:30:12.999999999,622.0,2026-07-04 14:30:12.999999999,1.433179723502304,,,,,,SoLEXS-only,C8.3,C8.3,8.3e-06,2026-07-04 14:30:00,12.999999,True,2026-07-04
2026-07-04 16:04:39.000000000,2026-07-04 16:06:39.999999999,961.0,2026-07-04 16:06:46.000000000,3.012539184952978,,,,,,SoLEXS-only,M1.1,M1.1,1.1000000000000001e-05,2026-07-04 16:06:00,39.999999,True,2026-07-04
2026-07-04 17:02:06.000000000,2026-07-04 17:02:34.000000000,625.0,2026-07-04 17:03:03.999999999,2.3946360153256707,,,,,,SoLEXS-only,C7.5,C7.5,7.499999999999999e-06,2026-07-04 17:02:00,34.0,True,2026-07-04
2026-07-04 18:41:30.000000001,2026-07-04 18:43:05.000000001,717.0,2026-07-04 18:43:13.000000000,3.695876288659794,,,,,,SoLEXS-only,M1.9,M1.9,1.9e-05,2026-07-04 18:48:00,295.0,True,2026-07-04
2026-07-04 19:25:14.000000001,2026-07-04 19:26:30.999999998,457.0,2026-07-04 19:26:39.999999998,1.8134920634920635,,,,,,SoLEXS-only,M1.5,M1.5,1.5000000000000002e-05,2026-07-04 19:36:00,569.000001,True,2026-07-04
2026-07-04 20:34:53.000000000,2026-07-04 20:37:08.000000000,836.0,2026-07-04 20:37:13.000000000,3.650655021834061,2026-07-04 20:40:30.800,2710.0,35.89403973509934,-3.3800000000000003,SoLEXS,Confirmed,X1.3,X1.3,0.00013000000000000002,2026-07-04 20:41:00,232.0,True,2026-07-04
2026-07-04 20:39:30.999999999,2026-07-04 20:41:30.000000001,11393.0,2026-07-04 20:42:07.999999999,43.15530303030303,,,,,,SoLEXS-only,,,,,,False,2026-07-04
2026-07-04 21:09:47.999999998,2026-07-04 21:11:54.999999999,1346.0,2026-07-04 21:12:15.999999998,1.1776027996500438,,,,,,SoLEXS-only,,,,,,False,2026-07-04
2026-07-04 21:14:00.999999999,2026-07-04 21:15:01.000000000,1772.0,2026-07-04 21:15:23.000000000,1.5119453924914676,,,,,,SoLEXS-only,,,,,,False,2026-07-04
2026-07-04 22:21:47.999999998,2026-07-04 22:22:55.999999999,818.0,2026-07-04 22:22:55.999999999,1.6458752515090542,,,,,,SoLEXS-only,M1.1,M1.1,1.1000000000000001e-05,2026-07-04 22:24:00,64.000001,True,2026-07-04
