date_str,mean_counts,median_counts,max_counts,std_counts,mean_flux_wm2,max_flux_wm2,max_goes_class,n_seconds
2026-07-04,586.8739,386.0,367510.0,1436.79,4.942308798745667e-08,0.00010886514599729118,X1.1,85704
2026-07-05,358.51,248.0,308074.0,1117.3334,2.950775535354986e-08,8.509176274149529e-05,M8.5,85437
2026-07-06,185.6671,150.0,238138.0,816.8801,1.4398983004462042e-08,5.285394040303588e-05,M5.3,86203
2026-07-07,55.94273,41.0,3599.0,143.73758,4.182413682052256e-09,3.500673766411765e-07,B3.5,86397
2026-07-08,29.445038,22.0,1225.0,62.424213,2.177008751784876e-09,1.1089345145029412e-07,B1.1,86397
2026-07-09,19.950924,13.0,879.0,35.977978,1.468994240063906e-09,8.02420045014706e-08,A8.0,86395
2026-07-10,22.952312,14.0,425.0,42.527996,1.694167652179009e-09,3.489543327705883e-08,A3.5,84612
2026-07-11,14.911155,14.0,64.0,6.410356,1.0314096899115472e-09,5.09092695e-09,A0.5,86397
2026-07-12,65.12645,23.0,921.0,125.10957,5.086202596159786e-09,7.871215821617647e-08,A7.9,86396
2026-07-13,16.058302,14.0,91.0,9.340752,1.1091683002086256e-09,7.761266219117647e-09,A0.8,86396
2026-07-14,12.018474,11.0,85.0,5.638062,8.142225474651834e-10,7.273378847647059e-09,A0.7,43197
2026-07-15,53.321335,12.0,703.0,112.38147,4.090343265287349e-09,5.738148766323531e-08,A5.7,86390
2026-07-16,22.799349,14.0,390.0,24.232372,1.6059735781242673e-09,3.318847541735294e-08,A3.3,86394
2026-07-17,27.850683,24.0,120.0,17.913876,1.9961707780021734e-09,9.170878320000002e-09,A0.9,15859
2026-07-18,37.912045,32.0,157.0,20.052044,2.6356597388281395e-09,1.1930374193823529e-08,A1.2,81983
2026-07-19,34.41405,32.0,136.0,12.858059,2.3220380318672784e-09,1.0258098818823529e-08,A1.0,86395
2026-07-20,103.754166,56.0,3054.0,220.08926,8.158519765181752e-09,2.9286512108470587e-07,B2.9,86396
2026-07-21,111.48291,84.0,1655.0,109.288826,8.55718677132863e-09,1.5119120007264703e-07,B1.5,86397
2026-07-22,57.588303,44.0,3266.0,131.13588,4.2745286213607685e-09,3.2139883949558826e-07,B3.2,86396
2026-07-23,38.21795,34.0,397.0,20.25449,2.683609740206625e-09,3.7040728735588233e-08,A3.7,86397
2026-07-24,38.807785,32.0,200.0,24.661432,2.7341991747162713e-09,1.6166373183529412e-08,A1.6,43202
2026-07-25,32.122967,30.0,116.0,11.575276,2.217660420177353e-09,9.306309652941177e-09,A0.9,86398
2026-07-26,49.008324,35.0,2653.0,136.57135,3.645868249243883e-09,2.532245254385294e-07,B2.5,86395
2026-07-27,45.507687,37.0,775.0,45.9744,3.2307988200963332e-09,7.046378215411764e-08,A7.0,86199
2026-07-28,37.60208,34.0,359.0,17.979082,2.5963252496792243e-09,3.010849642058824e-08,A3.0,86344
2026-07-29,38.816925,36.0,110.0,13.001423,2.7073590993213407e-09,8.157758646176471e-09,A0.8,86397
2026-07-30,148.24055,36.0,1580.0,284.32336,1.162909072658008e-08,1.3288363112647057e-07,B1.3,86397
2026-07-31,48.122066,39.0,277.0,27.05948,3.4358800689186806e-09,2.3569269434999998e-08,A2.4,86395
2026-08-01,29.050106,27.0,158.0,12.482875,1.979441441481587e-09,1.2492338828823528e-08,A1.2,86398
2026-08-02,27.814484,21.0,470.0,31.424044,1.946022087111726e-09,4.052261929764706e-08,A4.1,86397
2026-08-03,20.006239,19.0,72.0,7.529897,1.352348339362189e-09,5.676900723529411e-09,A0.6,86398
2026-08-04,14.967902,13.0,72.0,7.106886,1.0192042755119312e-09,6.12513414e-09,A0.6,86392
2026-08-05,10.956836,9.0,94.0,9.255624,7.48193251818586e-10,7.501171145294118e-09,A0.8,86368
2026-08-06,7.499171,7.0,53.0,4.000231,4.955488977800426e-10,4.312715137941176e-09,A0.4,86229
2026-08-07,7.8908978,6.0,40.0,5.646497,5.318952057206964e-10,3.0432937870588235e-09,A0.3,85892
2026-08-08,5.9649305,5.0,40.0,3.384198,3.9386887291518066e-10,3.095223268235294e-09,A0.3,85602
2026-08-09,12.258173,9.0,134.0,10.6612835,8.68085290266643e-10,1.085194212352941e-08,A1.1,86229
2026-08-13,10.198118,10.0,51.0,4.6310835,6.857076312608063e-10,3.904394852647059e-09,A0.4,86388
2026-08-14,22.443104,14.0,283.0,33.066124,1.6216424161385904e-09,2.485294547558823e-08,A2.5,86395
2026-08-15,16.805729,15.0,210.0,14.349393,1.1662920667787726e-09,1.8507912130588232e-08,A1.9,86395
2026-08-17,31.04258,26.0,150.0,21.691626,2.2631225460070126e-09,1.1851089845294118e-08,A1.2,15829
2026-08-18,61.25532,58.0,303.0,30.456034,4.493852121134664e-09,2.624886836205882e-08,A2.6,78133
2026-08-19,92.98272,65.0,864.0,102.270775,6.9710506698470685e-09,7.351390876764704e-08,A7.4,86396
2026-08-20,234.44792,60.0,7721.0,741.15564,1.9868624303042875e-08,7.279932706305883e-07,B7.3,86398
2026-08-21,211.06694,80.0,1461.0,295.3972,1.675565830335996e-08,1.2383468341676468e-07,B1.2,86396
2026-08-22,33.137745,31.0,108.0,12.723983,2.2907607700708724e-09,8.16883253735294e-09,A0.8,86398
2026-08-23,37.615337,30.0,281.0,31.430403,2.7530498460027474e-09,2.409662226970588e-08,A2.4,86395
2026-08-25,190.79301,55.0,6148.0,550.88135,1.6358848021710648e-08,5.949082360535294e-07,B5.9,86396
2026-08-26,37.53838,23.0,1887.0,102.793785,2.8707280907201857e-09,1.7973408389558823e-07,B1.8,86396
2026-08-27,19.580431,15.0,365.0,22.755064,1.3794335817117701e-09,3.1698589386176465e-08,A3.2,86398
